Abu Dhabi	United Arab Emirates
Victoria	Seychelles
Victoria City	Hong Kong
Vienna	Austria
Vientiane	Laos
Vilnius	Lithuania
Warsaw	Poland
Washington	United States
Wellington	New Zealand
West Island	Cocos (Keeling) Islands
Willemstad	Curacao
Windhoek	Namibia
Yamoussoukro	Ivory Coast
Yaounde	Cameroon
Yaren	Nauru
Yerevan	Armenia
Zagreb	Croatia
